Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Kolkata,PM2.5 - Principal,2023-11-01 02:00 AM,2023,11,01,02,113.1,181,Unhealthy,106.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2023-11-01 03:00 AM,2023,11,01,03,98.0,173,Unhealthy,83.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2023-11-01 04:00 AM,2023,11,01,04,86.0,167,Unhealthy,74.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2023-11-01 05:00 AM,2023,11,01,05,84.5,166,Unhealthy,82.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2023-11-01 06:00 AM,2023,11,01,06,85.3,166,Unhealthy,84.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2023-11-01 07:00 AM,2023,11,01,07,88.1,168,Unhealthy,92.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2023-11-01 08:00 AM,2023,11,01,08,83.8,166,Unhealthy,78.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2023-11-01 09:00 AM,2023,11,01,09,74.9,161,Unhealthy,66.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2023-11-01 10:00 AM,2023,11,01,10,64.7,156,Unhealthy,55.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2023-11-01 11:00 AM,2023,11,01,11,61.8,154,Unhealthy,59.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2023-11-01 12:00 PM,2023,11,01,12,60.4,154,Unhealthy,59.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2023-11-01 01:00 PM,2023,11,01,13,61.7,154,Unhealthy,63.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2023-11-01 02:00 PM,2023,11,01,14,65.0,156,Unhealthy,69.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2023-11-01 03:00 PM,2023,11,01,15,65.0,156,Unhealthy,65.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2023-11-01 04:00 PM,2023,11,01,16,62.9,155,Unhealthy,60.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2023-11-01 05:00 PM,2023,11,01,17,60.9,154,Unhealthy,58.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2023-11-01 06:00 PM,2023,11,01,18,61.3,154,Unhealthy,62.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2023-11-01 07:00 PM,2023,11,01,19,66.9,157,Unhealthy,79.0,UG/M3,1 Hr,Valid
