Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
07-DEC-2022,9853.7,9869.05,9795.1,9811.4,1033586499,33464.51
08-DEC-2022,9822.25,9846.1,9807.3,9840.85,1097238748,34730.5
09-DEC-2022,9873.2,9874.55,9730.4,9783.65,2541900885,43249.51
12-DEC-2022,9746.5,9796.65,9704.15,9789.6,1751936163,33416.75
13-DEC-2022,9808.8,9844,9788.95,9837.9,2180503589,35750.99
14-DEC-2022,9870.75,9887.7,9860.95,9870.85,2670900437,35989.97
15-DEC-2022,9851.85,9870.55,9735.85,9751.7,1723746325,33292.58
16-DEC-2022,9704.2,9759.4,9653.2,9659.35,1627518112,42103.58
19-DEC-2022,9670.85,9744.3,9641.85,9738.45,1076151948,27772.21
20-DEC-2022,9703.45,9729.3,9626.3,9720.15,1093799453,28374.76
21-DEC-2022,9748,9772.1,9586.8,9605.05,1382902565,35603.74
22-DEC-2022,9650.2,9671.05,9519.05,9556.45,1475719051,33573.49
23-DEC-2022,9476.3,9508.4,9315.85,9332.9,1634462146,37357.29
26-DEC-2022,9343.5,9512.25,9298.85,9477.15,1639709104,29565.25
27-DEC-2022,9522.2,9556.6,9461.6,9547.9,1488657256,27532.62
28-DEC-2022,9527.85,9576.45,9515.35,9552.85,1323774888,27863.51
29-DEC-2022,9512.45,9608.55,9472.35,9587,1291574981,35029.58
30-DEC-2022,9630.85,9640.95,9540.65,9554.45,1249101299,28112.84
02-JAN-2023,9573.55,9607.7,9544.5,9599.75,1391707371,24791.66
03-JAN-2023,9591.45,9633.55,9585.2,9621.85,1252370775,27499.17
04-JAN-2023,9622.95,9629.4,9504.4,9515.35,1345267298,31355.35
05-JAN-2023,9548.5,9558.3,9447,9510.8,1104927136,35969.93
06-JAN-2023,9519.7,9533.95,9407,9439.35,1068745548,30447.13
09-JAN-2023,9492.85,9569.8,9486.95,9557.9,1086177877,31767.28
10-JAN-2023,9569.8,9571.45,9435.5,9475.35,1124049818,33146.37
11-JAN-2023,9484.5,9504.15,9428.9,9459.2,1077104510,32909.77
12-JAN-2023,9475.4,9484.9,9395.3,9443.55,1003695092,33530.64
13-JAN-2023,9452.05,9502.6,9399.9,9487,1063506017,34915.49
16-JAN-2023,9519.85,9533.4,9439.7,9460.35,1081336350,31040.87
17-JAN-2023,9475.3,9533.45,9453.25,9523.8,1046499004,32116.43
18-JAN-2023,9536.05,9579.8,9510.55,9571.6,987753870,33707.66
19-JAN-2023,9547,9564.25,9520.55,9541.65,959107540,31073.22
20-JAN-2023,9545.9,9557.85,9490.9,9497.8,950493764,34553.05
23-JAN-2023,9538.15,9554.8,9511.25,9541,1264658598,31432.78
