Month,Year,PRODUCTS,TRADE,"Quantity (000 Metric Tonnes)","Value in Rupees (Crore)","Value in Dollars (Million US dollar)",date_updated
April,2022,"CRUDE OIL",Import,21626.17,128800.06,16814.64,"2023-11-11 04:00:12"
April,2022,LPG,Import,1605.47,11841.53,1548.97,"2023-11-11 04:00:12"
April,2022,MS,Import,,,,"2023-11-11 04:00:12"
April,2022,Naphtha,Import,35.36,241.16,31.82,"2023-11-11 04:00:12"
April,2022,ATF,Import,,,,"2023-11-11 04:00:12"
April,2022,HSD,Import,2.56,22.40,2.94,"2023-11-11 04:00:12"
April,2022,"LOBS/ Lube oil",Import,229.79,1590.78,208.83,"2023-11-11 04:00:12"
April,2022,"Fuel Oil",Import,995.86,5016.08,658.86,"2023-11-11 04:00:12"
April,2022,Bitumen,Import,258.43,1047.56,137.53,"2023-11-11 04:00:12"
April,2022,Petcoke,Import,891.89,1704.79,223.82,"2023-11-11 04:00:12"
April,2022,Others&,Import,157.43,1092.43,143.69,"2023-11-11 04:00:12"
April,2022,"PRODUCT IMPORT*",Import,4176.79,22556.72,2956.47,"2023-11-11 04:00:12"
April,2022,"TOTAL IMPORT",Import,25802.96,151356.80,19771.11,"2023-11-11 04:00:12"
April,2022,LPG,Export,47.34,396.92,52.06,"2023-11-11 04:00:12"
April,2022,MS!,Export,1402.28,12031.18,1580.31,"2023-11-11 04:00:12"
April,2022,Naphtha$,Export,610.66,4217.80,553.08,"2023-11-11 04:00:12"
April,2022,ATF#,Export,349.93,2889.12,379.06,"2023-11-11 04:00:12"
April,2022,SKO,Export,1.96,17.40,2.28,"2023-11-11 04:00:12"
April,2022,HSD,Export,2697.56,22821.57,2969.34,"2023-11-11 04:00:12"
April,2022,LDO,Export,0.09,0.79,0.10,"2023-11-11 04:00:12"
April,2022,"LOBS/ Lube Oil",Export,5.29,34.47,4.50,"2023-11-11 04:00:12"
April,2022,"Fuel Oil",Export,41.94,261.26,34.31,"2023-11-11 04:00:12"
April,2022,Bitumen,Export,0.02,0.12,0.02,"2023-11-11 04:00:12"
April,2022,"Petcoke / CBFS",Export,4.40,15.54,2.04,"2023-11-11 04:00:12"
April,2022,Others%,Export,275.37,1788.29,234.18,"2023-11-11 04:00:12"
April,2022,"TOTAL  PRODUCT EXPORT",Export,5436.84,44474.46,5811.26,"2023-11-11 04:00:12"
April,2022,"NET IMPORT",Export,20366.12,106882.33,13959.85,"2023-11-11 04:00:12"
May,2022,"CRUDE OIL",Import,19644.25,119633.62,15468.78,"2023-11-11 04:00:12"
May,2022,LPG,Import,1363.34,9238.98,1195.57,"2023-11-11 04:00:12"
May,2022,MS,Import,29.79,314.45,40.14,"2023-11-11 04:00:12"
May,2022,Naphtha,Import,30.46,260.22,33.66,"2023-11-11 04:00:12"
May,2022,ATF,Import,0.00,0.00,0.00,"2023-11-11 04:00:12"
May,2022,HSD,Import,8.50,102.78,13.29,"2023-11-11 04:00:12"
May,2022,"LOBS/ Lube oil",Import,213.50,1680.77,217.45,"2023-11-11 04:00:12"
May,2022,"Fuel Oil",Import,481.90,2519.27,326.13,"2023-11-11 04:00:12"
May,2022,Bitumen,Import,250.68,1004.94,129.97,"2023-11-11 04:00:12"
May,2022,Petcoke,Import,708.67,1675.71,216.73,"2023-11-11 04:00:12"
May,2022,Others&,Import,197.79,1318.31,170.51,"2023-11-11 04:00:12"
May,2022,"PRODUCT IMPORT*",Import,3284.62,18115.43,2343.45,"2023-11-11 04:00:12"
